# ---
# experiment_id: MOF Synthesis_Aditya_and_Hardik 2_20250724_172122
# experiment_name: MOF Synthesis
# operator_name: Aditya_and_Hardik 2
# target_compound: MOF
# project_id: MOF_Phase1
# sample_type: MOF_synthesis
# solvent: methanol
# temperature_c: 25
# notes: 
# created_at: 2025-07-24T17:21:22.822428
# instrument_serial: 2
# measurement_timestamp: 2025-07-24T17:48:36.885505
# well_id: A2
# slot: Well A2 form UWSUNLab 10 Well Plate 14000 µL on slot 2
# pixels: 2068
# integration_time_us: 1000
# scans_averaged: 1
# boxcar_width: 0
# dark_id: dark_20250724_174304
# white_id: white_20250724_174309
# wavelength_unit: nm
# absorbance_unit: AU
# ---
wavelength_nm,0 min,15 min
330.1,0.4282019107836576,0.12717173714819205
330.7,-0.0,-0.0
331.2,-0.0,-0.0
331.7,2.0644581987837536,-0.0
332.2,9.0,9.0
332.7,9.0,9.0
333.3,9.0,9.0
333.8,0.1644472256990043,-0.0
334.3,9.0,0.12934791673458265
334.8,-0.0,9.0
335.3,-0.0,-0.0
335.8,-0.0,-0.0
336.4,-0.0,9.0
336.9,-0.0,-0.0
337.4,-0.0,-0.0
337.9,0.545944199368485,-0.0
338.4,9.0,0.038534163771906216
338.9,-0.0,-0.0
339.5,-0.0,9.0
340.0,0.1082329595445215,0.6468720455134409
340.5,0.2340831240735329,0.8872955493727994
341.0,0.1850965753125464,0.08178173509710317
341.5,-0.0,-0.0
342.0,9.0,-0.0
342.6,-0.0,0.024823558645002783
343.1,9.0,9.0
343.6,9.0,9.0
344.1,9.0,9.0
344.6,9.0,9.0
345.1,-0.0,-0.0
345.7,-0.0,-0.0
346.2,9.0,9.0
346.7,-0.0,-0.0
347.2,-0.0,-0.0
347.7,-0.0,0.26823731180254784
348.2,9.0,9.0
348.7,-0.0,-0.0
349.3,9.0,-0.0
349.8,-0.0,-0.0
350.3,-0.0,-0.0
350.8,9.0,9.0
351.3,-0.0,-0.0
351.8,-0.0,-0.0
352.3,-0.0,-0.0
352.9,9.0,9.0
353.4,-0.0,-0.0
353.9,2.3873902635672506,9.0
354.4,9.0,9.0
354.9,-0.0,-0.0
355.4,-0.0,-0.0
355.9,-0.0,-0.0
356.5,-0.0,-0.0
357.0,9.0,9.0
357.5,-0.0,-0.0
358.0,-0.0,-0.0
358.5,-0.0,-0.0
359.0,-0.0,-0.0
359.5,9.0,9.0
360.0,9.0,9.0
360.6,9.0,9.0
361.1,-0.0,-0.0
361.6,-0.0,-0.0
362.1,-0.0,-0.0
362.6,9.0,9.0
363.1,9.0,9.0
363.6,-0.0,-0.0
364.1,-0.0,-0.0
364.6,9.0,9.0
365.2,9.0,9.0
365.7,9.0,9.0
366.2,-0.0,-0.0
