# ---
# experiment_id: MOF Synthesis_Aditya_and_Hardik 2_20250724_172122
# experiment_name: MOF Synthesis
# operator_name: Aditya_and_Hardik 2
# target_compound: MOF
# project_id: MOF_Phase1
# sample_type: MOF_synthesis
# solvent: methanol
# temperature_c: 25
# notes: 
# created_at: 2025-07-24T17:21:22.822428
# instrument_serial: 2
# measurement_timestamp: 2025-07-24T17:43:32.847140
# well_id: A1
# slot: Well A1 form UWSUNLab 10 Well Plate 14000 µL on slot 2
# pixels: 2068
# integration_time_us: 1000
# scans_averaged: 1
# boxcar_width: 0
# dark_id: dark_20250724_174304
# white_id: white_20250724_174309
# wavelength_unit: nm
# absorbance_unit: AU
# ---
wavelength_nm,0 min,15 min
194.0,-0.0,-0.0
194.6,0.1389494782476473,-0.0
195.1,-0.0,-0.0
195.7,0.2562175869039975,9.0
196.2,0.1068404429017893,9.0
196.8,-0.0,9.0
197.3,9.0,-0.0
197.9,-0.0,0.025807268818958343
198.4,9.0,9.0
199.0,1.6163002236477162,-0.0
199.5,9.0,9.0
200.1,0.0189442077883305,9.0
200.6,9.0,-0.0
201.2,-0.0,-0.0
201.7,9.0,0.04809868326641461
202.3,0.0547387737059865,0.38945181900812254
202.8,-0.0,9.0
203.3,9.0,0.60205991257158
203.9,-0.0,-0.0
204.4,-0.0,-0.0
205.0,9.0,9.0
205.5,0.1870866552646516,9.0
206.1,-0.0,-0.0
206.6,0.7655618159279469,9.0
207.2,0.3894521347330052,0.6677390817193631
207.7,-0.0,0.7047222256878486
208.3,-0.0,-0.0
208.8,0.1769274029496963,-0.0
209.4,-0.0,9.0
209.9,9.0,1.7160034325913234
210.4,0.2270498404099991,0.10080500441928812
211.0,-0.0,9.0
211.5,0.2311032293438816,0.1728330267692598
212.1,-0.0,-0.0
212.6,0.3674366849815531,0.324330825146033
213.2,-0.0,-0.0
213.7,9.0,-0.0
214.3,-0.0,0.5420619278851118
214.8,-0.0,0.055700126945408705
215.3,0.8135673919669867,0.4758146969708143
215.9,9.0,9.0
216.4,9.0,0.46736136455892274
217.0,9.0,9.0
217.5,-0.0,-0.0
218.1,0.0327238285842637,9.0
218.6,-0.0,-0.0
219.2,0.4823221456877438,0.15836235289416345
