# ---
# experiment_id: ZIF-67 Synthesis_Aditya_and_Hardik_20250725_213755
# experiment_name: ZIF-67 Synthesis
# operator_name: Aditya_and_Hardik
# target_compound: ZIF-67
# project_id: None
# sample_type: MOF_synthesis
# solvent: methanol
# temperature_c: 25
# notes: Synthesis of a single vial of MOF - First run
# created_at: 2025-07-25T21:37:55.042537
# instrument_serial: 2
# measurement_timestamp: 2025-07-25T21:53:20.280623
# well_id: A1
# slot: Well A1 form UWSUNLab 10 Well Plate 14000 µL on slot 2
# pixels: 2068
# integration_time_us: 10000
# scans_averaged: 50
# boxcar_width: 50
# dark_id: dark_20250725_213943
# white_id: white_20250725_213947
# wavelength_unit: nm
# absorbance_unit: AU
# metal_precursor_name: Co+2
# metal_precursor_vol_ml: 1.66
# organic_precursor_name: 2-methylimidazole
# organic_precursor_vol_ml: 1.0375
# solvent_name: methanol
# solvent_vol_ml: 7.2625
# total_volume_ml: 9.96
# ---
wavelength_nm,0 min
194.0,0.1220435090087213
194.6,0.12091564484771164
195.1,0.1167224986962801
195.7,0.11154992703640132
196.2,0.1117020822734446
196.8,0.10603940876403257
197.3,0.10406246794892637
197.9,0.09626589759515311
198.4,0.09123321018961796
199.0,0.08792014527089116
199.5,0.08599868923030109
200.1,0.08183621656441051
200.6,0.07940344243960418
201.2,0.07403850162419205
201.7,0.07012880506534164
202.3,0.06898308029646663
202.8,0.06347319930278321
203.3,0.06375479035318082
203.9,0.06145306117575614
204.4,0.0532106808972489
205.0,0.049378145841266236
205.5,0.04735253553686128
206.1,0.0412765934950706
206.6,0.04183407410233655
207.2,0.04201061151943252
207.7,0.03728270460572867
208.3,0.0363993070676638
208.8,0.033197193897177034
209.4,0.03131239574754564
209.9,0.028247177158596752
210.4,0.026585997944443003
211.0,0.023783760132539227
211.5,0.021133022514070815
212.1,0.020633752671343163
212.6,0.021268468077458746
213.2,0.020781954681008966
213.7,0.019324379170231946
214.3,0.01990200973608879
214.8,0.019416039239268004
215.3,0.019929264733668572
215.9,0.015684455046441607
216.4,0.012528141164832285
217.0,0.01399559771037492
217.5,0.011810245775040936
218.1,0.012346386235090144
218.6,0.010319917489298972
219.2,0.007503971803063978
219.7,0.0064076281683037185
220.2,0.006173504847713555
220.8,0.004362367732840975
221.3,0.0018509252508236804
221.9,-0.0
222.4,-0.0
223.0,-0.0
223.5,-0.0
224.0,-0.0
224.6,-0.0
225.1,-0.0
225.7,-0.0
226.2,-0.0
226.8,-0.0
227.3,-0.0
227.8,-0.0
228.4,-0.0
228.9,-0.0
229.5,-0.0
230.0,-0.0
230.5,-0.0
231.1,-0.0
231.6,-0.0
232.2,-0.0
232.7,-0.0
233.2,-0.0
233.8,-0.0
234.3,-0.0
234.9,-0.0
235.4,-0.0
235.9,-0.0
236.5,-0.0
237.0,-0.0
237.6,-0.0
238.1,-0.0
238.6,-0.0
239.2,-0.0
239.7,-0.0
240.3,-0.0
240.8,-0.0
241.3,-0.0
241.9,-0.0
242.4,-0.0
243.0,-0.0
243.5,-0.0
244.0,-0.0
244.6,-0.0
245.1,-0.0
245.6,-0.0
246.2,-0.0
246.7,-0.0
247.3,-0.0
247.8,-0.0
248.3,-0.0
248.9,-0.0
249.4,-0.0
249.9,-0.0
250.5,-0.0
251.0,-0.0
251.5,-0.0
252.1,-0.0
252.6,-0.0
253.2,-0.0
