# ---
# experiment_id: ZIF-67 Synthesis - 2 identical vials_Aditya_and_Hardik_20250728_171409
# experiment_name: ZIF-67 Synthesis - 2 identical vials
# operator_name: Aditya_and_Hardik
# target_compound: ZIF-67
# project_id: None
# sample_type: MOF_synthesis
# solvent: methanol
# temperature_c: 25
# notes: Synthesis of 2 identical vials of MOF
# created_at: 2025-07-28T17:14:09.854644
# instrument_serial: 2
# measurement_timestamp: 2025-07-28T17:44:48.320535
# well_id: A2
# slot: Well A2 form UWSUNLab 10 Well Plate 14000 µL on slot 2
# pixels: 2068
# integration_time_us: 10000
# scans_averaged: 50
# boxcar_width: 50
# dark_id: dark_20250728_171608
# white_id: white_20250728_171610
# wavelength_unit: nm
# absorbance_unit: AU
# metal_precursor_name: Co+2
# metal_precursor_vol_ml: 1.66
# organic_precursor_name: 2-methylimidazole
# organic_precursor_vol_ml: 1.0375
# solvent_name: methanol
# solvent_vol_ml: 7.2625
# total_volume_ml: 9.96
# ---
wavelength_nm,0 min,15 min,30 min,45 min,60 min,75 min
194.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
194.6,9.0,9.0,9.0,9.0,9.0,9.0
195.1,9.0,9.0,9.0,9.0,9.0,9.0
195.7,9.0,9.0,9.0,9.0,9.0,9.0
196.2,9.0,9.0,9.0,9.0,9.0,9.0
196.8,9.0,9.0,9.0,9.0,9.0,9.0
197.3,9.0,9.0,9.0,9.0,9.0,9.0
197.9,9.0,9.0,9.0,9.0,9.0,9.0
198.4,9.0,9.0,9.0,9.0,9.0,9.0
199.0,9.0,9.0,9.0,9.0,9.0,9.0
199.5,0.8684263919062493,1.2952583204023949,9.0,9.0,9.0,9.0
200.1,1.0698054833736632,9.0,9.0,9.0,9.0,9.0
200.6,9.0,9.0,9.0,9.0,9.0,9.0
201.2,0.2565912633543717,0.3525045538689645,0.5442730634925345,0.6407918539100349,0.709668885882715,0.723456364874954
201.7,0.9910884769167986,9.0,9.0,9.0,9.0,9.0
202.3,9.0,9.0,9.0,9.0,9.0,9.0
202.8,1.3693444287442404,9.0,9.0,9.0,9.0,9.0
203.3,0.5358715340719562,0.7804509022321547,9.0,9.0,9.0,9.0
203.9,0.9120284541641304,2.127276410792956,9.0,9.0,9.0,9.0
204.4,0.3038392629769672,0.4820944753364081,1.147191582529681,9.0,9.0,9.0
205.0,0.2990491263387065,0.5382227474431577,9.0,9.0,9.0,9.0
205.5,1.0398802268637244,9.0,9.0,9.0,9.0,9.0
206.1,-0.0,-0.0,0.4456475686382061,9.0,9.0,9.0
206.6,9.0,9.0,0.7069214986487585,0.4231390352228504,0.3460894033949145,0.3164524966026196
207.2,9.0,9.0,9.0,9.0,9.0,9.0
207.7,9.0,9.0,1.9612848394106943,1.038851562160296,0.9148294725083518,0.8541666151896407
208.3,9.0,9.0,9.0,9.0,9.0,9.0
208.8,9.0,9.0,0.988373829468614,0.818450677122189,0.7737371088533347,0.7446688188922139
209.4,9.0,9.0,2.69703140621934,1.2626729025948231,1.1473637546409374,1.073824187234703
209.9,9.0,9.0,1.056309206295297,0.8685312732013877,0.827943834312132,0.7952968006177511
210.4,9.0,9.0,1.3795017560121,1.0583561572589808,1.0018443247546882,0.953117308552528
211.0,9.0,9.0,9.0,1.4329700290885825,1.328716840365437,1.2422762844732018
211.5,9.0,9.0,9.0,9.0,9.0,9.0
212.1,9.0,9.0,9.0,9.0,9.0,9.0
212.6,9.0,9.0,1.4555750599656614,1.078392331941174,1.0196583795839151,0.9537427600335951
213.2,9.0,9.0,1.152159075192273,0.94199543054534,0.9080123095191936,0.8586998362346554
213.7,9.0,9.0,9.0,9.0,9.0,9.0
214.3,9.0,9.0,9.0,9.0,9.0,9.0
214.8,9.0,9.0,1.4535485762764957,1.0664303031375937,1.0205608009036622,0.9466602069135551
215.3,9.0,9.0,9.0,9.0,9.0,9.0
215.9,9.0,9.0,9.0,9.0,9.0,9.0
216.4,9.0,9.0,9.0,9.0,9.0,9.0
217.0,9.0,9.0,9.0,9.0,9.0,9.0
217.5,9.0,9.0,9.0,9.0,9.0,9.0
218.1,9.0,9.0,1.3589149750506104,0.9439933930131484,0.8879481340236083,0.8132338749976092
218.6,9.0,9.0,0.9098095717991944,0.6820559907002861,0.640952565473918,0.5864221270289222
219.2,9.0,9.0,9.0,1.108376391494453,0.9774654958569324,0.8364990672227937
219.7,9.0,9.0,9.0,9.0,2.108332163105649,1.3330344997404586
220.2,9.0,9.0,9.0,0.9195977218959032,0.7887531066296063,0.647877953464436
220.8,9.0,9.0,9.0,9.0,9.0,9.0
221.3,9.0,9.0,0.5281930272264659,0.2972410523942718,0.2522882162415653,0.19823029627449865
221.9,9.0,9.0,9.0,1.0504364928784204,0.9238360295867968,0.7789032702398115
222.4,9.0,9.0,9.0,9.0,9.0,9.0
223.0,9.0,9.0,9.0,9.0,9.0,1.5006920497116016
223.5,9.0,9.0,9.0,9.0,9.0,9.0
224.0,9.0,9.0,9.0,9.0,9.0,9.0
224.6,9.0,9.0,9.0,9.0,9.0,9.0
225.1,9.0,9.0,9.0,9.0,9.0,9.0
225.7,9.0,9.0,1.0670482240585342,0.606681560317067,0.5776985057074889,0.4367275323182734
226.2,9.0,9.0,9.0,9.0,9.0,9.0
226.8,-0.0,-0.0,-0.0,0.0327541792328841,0.0399300685791248,0.07472416824115598
227.3,9.0,9.0,9.0,9.0,9.0,9.0
227.8,0.1226606422235122,0.3207396489895047,0.7795856213513439,9.0,9.0,9.0
228.4,-0.0,-0.0,0.1004563605255295,0.1928419859980993,0.2152444033557401,0.27782689987353176
228.9,0.5225101047786223,0.9502580150095588,9.0,9.0,9.0,9.0
229.5,0.8054636461782354,1.235867790656138,9.0,9.0,9.0,9.0
230.0,0.2303247424155642,0.4553170436762581,1.0473284327901713,9.0,9.0,9.0
230.5,0.1057921678864352,0.1807690529716702,0.2852127623210744,0.3597652222435619,0.378072968333525,0.42616133571950954
231.1,0.6036678023988938,0.8275321175163811,1.5486490386262075,9.0,9.0,9.0
231.6,0.1714307693091073,0.2618421830956201,0.4106055271616415,0.5082802912607339,0.5378078516204099,0.6091123763449877
232.2,0.1676725322910751,0.3149499484384784,0.622010655899449,0.9908955306582672,1.1527775839574603,2.125897342471659
232.7,0.4327494996154187,0.6549276523127179,1.4307788120841836,9.0,9.0,9.0
233.2,9.0,9.0,9.0,9.0,9.0,9.0
233.8,0.4634120708989265,0.689573125100179,1.518639874948526,9.0,9.0,9.0
234.3,-0.0,-0.0,0.076709400030151,0.1522840859199657,0.1761544577903672,0.21213573507053654
234.9,0.2175352749535979,0.3154083929226474,0.4779509492906394,0.6130248756328894,0.6563451718746119,0.7279150010305447
235.4,0.2407284082560187,0.3418747194492556,0.506844933176585,0.6445693420570344,0.6851810524009603,0.7612834117666645
235.9,0.2901570222845406,0.4130118895390014,0.6279048761392031,0.8261670038650225,0.8983435609170832,1.0265977667679949
236.5,0.8076224328674548,9.0,9.0,9.0,9.0,9.0
237.0,0.2169442368828339,0.4068860047439007,0.9053546468709288,9.0,9.0,9.0
237.6,0.2025501893349415,0.3109141114807104,0.4919659181923574,0.6278735867341348,0.6749544321969732,0.7445635800363863
238.1,0.2183928286515795,0.3286114559819705,0.5150597320198711,0.6514180383325237,0.7005604183398679,0.7668858631601597
