# ---
# experiment_id: ZIF-67 Synthesis - 2 identical vials_Aditya_and_Hardik_20250728_171409
# experiment_name: ZIF-67 Synthesis - 2 identical vials
# operator_name: Aditya_and_Hardik
# target_compound: ZIF-67
# project_id: None
# sample_type: MOF_synthesis
# solvent: methanol
# temperature_c: 25
# notes: Synthesis of 2 identical vials of MOF
# created_at: 2025-07-28T17:14:09.854644
# instrument_serial: 2
# measurement_timestamp: 2025-07-28T17:36:14.933821
# well_id: A1
# slot: Well A1 form UWSUNLab 10 Well Plate 14000 µL on slot 2
# pixels: 2068
# integration_time_us: 10000
# scans_averaged: 50
# boxcar_width: 50
# dark_id: dark_20250728_171608
# white_id: white_20250728_171610
# wavelength_unit: nm
# absorbance_unit: AU
# metal_precursor_name: Co+2
# metal_precursor_vol_ml: 1.66
# organic_precursor_name: 2-methylimidazole
# organic_precursor_vol_ml: 1.0375
# solvent_name: methanol
# solvent_vol_ml: 7.2625
# total_volume_ml: 9.96
# ---
wavelength_nm,0 min,15 min,30 min,45 min,60 min,75 min
194.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
194.6,9.0,9.0,9.0,9.0,9.0,9.0
195.1,9.0,9.0,9.0,9.0,9.0,9.0
195.7,9.0,9.0,9.0,9.0,9.0,9.0
196.2,9.0,9.0,9.0,9.0,9.0,9.0
196.8,9.0,9.0,9.0,9.0,9.0,9.0
197.3,9.0,9.0,9.0,9.0,9.0,9.0
197.9,9.0,9.0,9.0,9.0,9.0,9.0
198.4,2.028838882986576,9.0,9.0,9.0,9.0,9.0
199.0,9.0,9.0,9.0,9.0,9.0,9.0
199.5,0.8177295503199801,1.6461111662407335,9.0,9.0,9.0,9.0
200.1,0.9925947186252528,9.0,9.0,9.0,9.0,9.0
200.6,9.0,9.0,9.0,9.0,9.0,9.0
201.2,0.2440251874241314,0.386603877937733,0.5648439498002098,0.6388656717971817,0.7096686956728592,0.7781212615196825
201.7,0.9239197606243318,9.0,9.0,9.0,9.0,9.0
202.3,9.0,9.0,9.0,9.0,9.0,9.0
202.8,1.2261612603346554,9.0,9.0,9.0,9.0,9.0
203.3,0.5030239944417451,0.9438729796453872,9.0,9.0,9.0,9.0
203.9,0.8369965296753298,9.0,9.0,9.0,9.0,9.0
204.4,0.2775111777353921,0.5875555669100486,1.3678181434202112,9.0,9.0,9.0
205.0,0.2665488313846821,0.7058802276713219,9.0,9.0,9.0,9.0
205.5,0.896602986799595,9.0,9.0,9.0,9.0,9.0
206.1,-0.0,-0.0,0.6188734202796669,9.0,9.0,9.0
206.6,9.0,9.0,0.6102658475442024,0.4382572218019764,0.3268462082169449,0.25930343471182105
207.2,9.0,9.0,9.0,9.0,9.0,9.0
207.7,9.0,9.0,1.494344962533169,1.0656491504026853,0.8723355130041387,0.7705542826771664
208.3,9.0,9.0,9.0,9.0,9.0,9.0
208.8,9.0,1.777291600400204,0.933800248244726,0.8294753767274358,0.7495700848035574,0.6994914851659061
209.4,9.0,9.0,1.7725129892906228,1.2921834419383809,1.0877411766829463,0.9817906059996717
209.9,9.0,2.027469573090936,0.9928844661916788,0.8811213050639165,0.8028503648955296,0.7498376280163155
210.4,9.0,9.0,1.2573614785497085,1.0781058071376908,0.9610844841778164,0.8921568578818984
211.0,9.0,9.0,1.99737607040198,1.474369207998898,1.2646612203999998,1.1567393422864471
211.5,9.0,9.0,9.0,9.0,9.0,9.0
212.1,9.0,9.0,9.0,9.0,9.0,9.0
212.6,9.0,9.0,1.3060447324371776,1.0954611830042325,0.9689791919232144,0.8992038187537416
213.2,9.0,9.0,1.083413234390325,0.9553468335353557,0.8706045718232384,0.8195927105382216
213.7,9.0,9.0,9.0,9.0,9.0,9.0
214.3,9.0,9.0,9.0,9.0,9.0,9.0
214.8,9.0,9.0,1.3203418036782024,1.0842261543929343,0.9619479518476216,0.8926933822331176
215.3,9.0,9.0,9.0,9.0,9.0,9.0
215.9,9.0,9.0,9.0,9.0,9.0,9.0
216.4,9.0,9.0,9.0,9.0,9.0,9.0
217.0,9.0,9.0,9.0,9.0,9.0,9.0
217.5,9.0,9.0,9.0,9.0,9.0,9.0
218.1,9.0,9.0,1.2291752147134756,0.9526912492071534,0.8243302779485975,0.7644335587591302
218.6,9.0,9.0,0.8494598954015641,0.6852615593690743,0.5981083966158618,0.5507731962367568
219.2,9.0,9.0,9.0,1.1107500037762492,0.8629545957513469,0.764389197437954
219.7,9.0,9.0,9.0,9.0,1.4088823088916904,1.1332493515263546
220.2,9.0,9.0,9.0,0.9213217004814191,0.670921929846463,0.5690292470873841
220.8,9.0,9.0,9.0,9.0,9.0,9.0
221.3,9.0,9.0,0.4598625578421716,0.2945029763071085,0.2059915536528447,0.16499581411488665
221.9,9.0,9.0,2.6261011145194164,1.0514872657324357,0.8047526004488161,0.7133222924854709
222.4,9.0,9.0,9.0,9.0,9.0,9.0
223.0,9.0,9.0,9.0,9.0,2.2027381896113702,1.241731233936004
223.5,9.0,9.0,9.0,9.0,9.0,9.0
224.0,9.0,9.0,9.0,9.0,9.0,9.0
224.6,9.0,9.0,9.0,9.0,9.0,9.0
225.1,9.0,9.0,9.0,9.0,9.0,9.0
225.7,9.0,9.0,0.7708013746876505,0.6374161890120028,0.4647697879912127,0.38303792057070474
226.2,1.0580808600908556,9.0,9.0,9.0,9.0,9.0
226.8,-0.0,-0.0,0.0063966509172465,0.0300131340638349,0.0668383878107387,0.0908154710833296
227.3,9.0,9.0,9.0,9.0,9.0,9.0
227.8,0.0464291891588335,0.5632352218917542,1.232920697424424,9.0,9.0,9.0
228.4,-0.0,0.058500685327441,0.1526261303431171,0.1987233190340691,0.2679247492279971,0.31602857126443834
228.9,0.4036506210562769,9.0,9.0,9.0,9.0,9.0
229.5,0.6792445404367486,9.0,9.0,9.0,9.0,9.0
230.0,0.1438110603716148,0.7411902490751581,1.8716840364292824,9.0,9.0,9.0
230.5,0.0691822273809557,0.2449915246090871,0.3199181473159455,0.3654597746702314,0.4188606704118947,0.4553730762265297
231.1,0.5120313177245194,1.1216504849076223,9.0,9.0,9.0,9.0
231.6,0.1277497040645369,0.3438944413097227,0.447389062117678,0.5180072428906772,0.6041830576263107,0.6521388488451048
232.2,0.096896631460254,0.4741802194949696,0.7482074533142498,1.021839167300765,1.999293877107508,9.0
232.7,0.3351295603248536,0.9468334776518226,9.0,9.0,9.0,9.0
233.2,1.2523219975250357,9.0,9.0,9.0,9.0,9.0
233.8,0.3718328691422179,0.9818969776026144,9.0,9.0,9.0,9.0
234.3,-0.0,0.0240502349431533,0.1038470485472198,0.1559510820646815,0.2084413340555369,0.2342638940515163
234.9,0.1750171109305387,0.3958336684308533,0.5262418808393892,0.6212851618945188,0.7226857868311629,0.7761870900838241
235.4,0.1997471655620742,0.4186124993880574,0.5565672112157046,0.6577965536717614,0.7604660411247565,0.8112274386707174
235.9,0.2431616343966972,0.5073761710885341,0.6930333590045117,0.8544597006492307,1.0331780943256756,1.1441478564634728
236.5,0.6065266087539902,9.0,9.0,9.0,9.0,9.0
237.0,0.1533215973958322,0.5663282110565869,1.1322135252840937,9.0,9.0,9.0
237.6,0.1637270823896762,0.3757258636839694,0.5358398454381638,0.6471955189346607,0.7516155373982031,0.8036422941061148
