# ---
# experiment_id: ZIF-67 Synthesis - 5 identical vials_Shuan_20250728_192744
# experiment_name: ZIF-67 Synthesis - 5 identical vials
# operator_name: Shuan
# target_compound: ZIF-67
# project_id: None
# sample_type: MOF_synthesis
# solvent: methanol
# temperature_c: 25
# notes: Synthesis of 5 identical vials of MOF
# created_at: 2025-07-28T19:27:44.279184
# instrument_serial: 2
# measurement_timestamp: 2025-07-28T20:05:19.598894
# well_id: A4
# slot: Well A4 form UWSUNLab 10 Well Plate 14000 µL on slot 2
# pixels: 2068
# integration_time_us: 10000
# scans_averaged: 50
# boxcar_width: 50
# dark_id: dark_20250728_192915
# white_id: white_20250728_192926
# wavelength_unit: nm
# absorbance_unit: AU
# metal_precursor_name: Co+2
# metal_precursor_vol_ml: 1.66
# organic_precursor_name: 2-methylimidazole
# organic_precursor_vol_ml: 1.0375
# solvent_name: methanol
# solvent_vol_ml: 7.2625
# total_volume_ml: 9.96
# ---
wavelength_nm,0 min,20 min,40 min,60 min,80 min,100 min,120 min,140 min,160 min,180 min,200 min,220 min
194.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
194.6,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
195.1,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
195.7,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
196.2,1.874289239844265,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
196.8,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
197.3,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
197.9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
198.4,1.08998473330944,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
199.0,1.523257880160914,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
199.5,0.7696670935941784,1.3173120536494467,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
200.1,0.9332953222583692,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
200.6,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
201.2,0.0906207433224459,0.1937217696075523,0.4038094251382281,0.566528823639787,0.6219612140904863,0.6536729777008395,0.6580815993358413,0.660302694176982,0.6580813466009536,0.671582653957378,0.6855176957122082,0.6580805850243387
201.7,0.6740045108246047,1.2036124709322509,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
202.3,1.5183781457367926,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
202.8,1.4346890965544985,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
203.3,0.3877818333750927,0.585822447121396,1.376817507675235,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
203.9,0.5876703857792037,1.6038454589905942,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
204.4,0.2023258717494343,0.432919721106882,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
205.0,0.0184532284510045,0.2029291924015004,0.9670763792443288,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
205.5,0.7406668823203287,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
206.1,-0.0,-0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
206.6,9.0,9.0,0.2685454401250646,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
207.2,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
207.7,9.0,9.0,9.0,1.0706839564777506,0.8945678288309378,0.8276148628426089,0.7972036101782629,0.7823309136948348,0.8007788485593206,0.7654618147602429,0.7696178881203597,0.8238152763958577
208.3,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
208.8,9.0,9.0,1.185920125926455,0.7787860357304466,0.7163415068865087,0.6913876943599592,0.6769980993627088,0.6683596889685485,0.6801116533318764,0.6615706698444875,0.6610095329666067,0.6913885890752808
209.4,9.0,9.0,1.33695491646833,0.9206080208263278,0.8550788592159424,0.83009471074914,0.8141703792828792,0.8029537783849128,0.8172895234154508,0.7973122572473978,0.7977794837064429,0.8268836498784362
209.9,9.0,9.0,1.0565090191494635,0.7903415918706558,0.7396719795395488,0.7194683563728733,0.707302150263357,0.6966365698410548,0.710916535804747,0.6943017339554172,0.694301633588722,0.7182369572867887
210.4,9.0,9.0,1.1093535575158084,0.8441509170082727,0.7909659876952229,0.7711634478645569,0.7580775958926194,0.7479575771066849,0.7604413259712179,0.7476699745271191,0.7461622312008531,0.7711641245377221
211.0,9.0,9.0,9.0,1.5717493453003994,1.3495027599641851,1.2775770781053997,1.2424197466431974,1.2146826935167407,1.2493145371624952,1.2098970383426375,1.2079180178244011,1.2850599334569472
211.5,9.0,9.0,9.0,9.0,2.2930072485191366,1.8664845402175008,1.7492855069566138,1.6810145637875598,1.7933175629434133,1.6570876103740222,1.6492218496970534,1.9251219396156152
212.1,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
212.6,9.0,9.0,1.1561842152607906,0.8636502709137346,0.8074729662847032,0.7821904409933932,0.7696837031449668,0.760058264073148,0.7754901948753146,0.7597764507575263,0.7535493501692441,0.7857675290790634
213.2,9.0,9.0,9.0,1.1655023872400978,1.0476238051741258,0.995587393440794,0.9710938082125002,0.9567371126818036,0.9814601846554326,0.9537744298815164,0.9404468340663044,0.9999454804106442
213.7,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
