# ---
# experiment_id: ZIF-67 Synthesis - 5 identical vials_Shuan_20250728_192744
# experiment_name: ZIF-67 Synthesis - 5 identical vials
# operator_name: Shuan
# target_compound: ZIF-67
# project_id: None
# sample_type: MOF_synthesis
# solvent: methanol
# temperature_c: 25
# notes: Synthesis of 5 identical vials of MOF
# created_at: 2025-07-28T19:27:44.279184
# instrument_serial: 2
# measurement_timestamp: 2025-07-28T19:56:12.550594
# well_id: A2
# slot: Well A2 form UWSUNLab 10 Well Plate 14000 µL on slot 2
# pixels: 2068
# integration_time_us: 10000
# scans_averaged: 50
# boxcar_width: 50
# dark_id: dark_20250728_192915
# white_id: white_20250728_192926
# wavelength_unit: nm
# absorbance_unit: AU
# metal_precursor_name: Co+2
# metal_precursor_vol_ml: 1.66
# organic_precursor_name: 2-methylimidazole
# organic_precursor_vol_ml: 1.0375
# solvent_name: methanol
# solvent_vol_ml: 7.2625
# total_volume_ml: 9.96
# ---
wavelength_nm,0 min,20 min,40 min,60 min,80 min,100 min,120 min,140 min,160 min,180 min,200 min,220 min
194.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
194.6,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
195.1,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
195.7,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
196.2,2.0285192062742383,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
196.8,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
197.3,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
197.9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
198.4,1.2026310548370889,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
199.0,2.020790388701126,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
199.5,0.8167813356799676,1.3843241565826656,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
200.1,1.007006330705145,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
200.6,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
201.2,0.1027864565879069,0.2013948612181481,0.4955038619218328,0.5774316329534449,0.6974825117387567,0.7173376485188653,0.6138805574882042,0.7250236016997668,0.7435052589858264,0.7097845122116241,0.7072954935320894,0.748933161857976
201.7,0.7138764744931761,1.2753907457265437,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
202.3,1.900945823482783,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
202.8,1.7779172726766106,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
203.3,0.4067863364263623,0.6055657715557994,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
203.9,0.6294437056940271,2.992952117892423,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
204.4,0.2244488541975608,0.4707279859224879,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
205.0,0.0360546164621135,0.2292077999396973,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
205.5,0.9273858919202418,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
206.1,-0.0,-0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
206.6,9.0,9.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
207.2,9.0,9.0,9.0,9.0,9.0,9.0,9.0,2.167424815839125,1.6680094509673211,9.0,9.0,1.768705513492487
207.7,9.0,9.0,1.7224740185492666,1.0232512858750098,0.7103685931459155,0.7045779104176789,0.8990478725690306,0.686273162669614,0.6608356240770871,0.7052982093542829,0.7328019573888594,0.6707000753559896
208.3,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
208.8,9.0,9.0,0.900798683278732,0.7676553150578264,0.6377237149383651,0.6327925331210772,0.7197520904280624,0.624123516743837,0.6069576608087716,0.6336693444531369,0.6459496631223379,0.616129691837233
209.4,9.0,9.0,1.0467117998069757,0.9052474779173612,0.7744741367885761,0.7691885592590852,0.8585079521922158,0.7613787158603116,0.742035594226168,0.7717356356790963,0.782165214292038,0.7539606239977716
209.9,9.0,9.0,0.8786251369666394,0.7788739769961587,0.6760598733683326,0.6705132601950534,0.7396726083378341,0.6650365479040645,0.6490087478272799,0.6738330656792904,0.6816790339657276,0.658554526194466
210.4,9.0,9.0,0.929411375034372,0.8298404284095839,0.7270929484787461,0.7213695012807168,0.7922397771195656,0.7166568976203426,0.7012642387166076,0.7248357881920353,0.7321990496515199,0.7117963650522116
211.0,9.0,9.0,2.5175711540405645,1.5027096147184096,1.157286875994427,1.1393885367328176,1.3539033982333744,1.1293885467530411,1.0909389838632866,1.1485906159703605,1.1723037907422271,1.1160842353664127
211.5,9.0,9.0,9.0,9.0,1.533178746678041,1.4864608044062069,2.2578760322201856,1.4744831148088198,1.3895377725646252,1.50731570447401,1.5585724625145965,1.4337177987466105
212.1,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
212.6,9.0,9.0,0.9494718560100068,0.8445623974750905,0.7382606233313842,0.7305502065736529,0.8062169828245473,0.7285782971814383,0.7099633258609049,0.7336580741304328,0.7427101491228822,0.72148796616652
213.2,9.0,9.0,1.3876384471156769,1.117742421516741,0.9163112248125704,0.904729056936134,1.0427653638450125,0.9007908582038948,0.8676723555372439,0.9102593864792464,0.9249760352388964,0.8881269202070373
213.7,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,2.276810692128145,9.0,9.0,9.0
