# ---
# experiment_id: ZIF-67 Synthesis - 5 identical vials_Shuan_20250728_192744
# experiment_name: ZIF-67 Synthesis - 5 identical vials
# operator_name: Shuan
# target_compound: ZIF-67
# project_id: None
# sample_type: MOF_synthesis
# solvent: methanol
# temperature_c: 25
# notes: Synthesis of 5 identical vials of MOF
# created_at: 2025-07-28T19:27:44.279184
# instrument_serial: 2
# measurement_timestamp: 2025-07-28T20:12:24.000660
# well_id: A5
# slot: Well A5 form UWSUNLab 10 Well Plate 14000 µL on slot 2
# pixels: 2068
# integration_time_us: 10000
# scans_averaged: 50
# boxcar_width: 50
# dark_id: dark_20250728_192915
# white_id: white_20250728_192926
# wavelength_unit: nm
# absorbance_unit: AU
# metal_precursor_name: Co+2
# metal_precursor_vol_ml: 1.66
# organic_precursor_name: 2-methylimidazole
# organic_precursor_vol_ml: 1.0375
# solvent_name: methanol
# solvent_vol_ml: 7.2625
# total_volume_ml: 9.96
# ---
wavelength_nm,0 min,20 min,40 min,60 min,80 min,100 min,120 min,140 min,160 min,180 min,200 min,220 min
194.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
194.6,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
195.1,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
195.7,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
196.2,1.9201763618751,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
196.8,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
197.3,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
197.9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
198.4,1.1306857492462097,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
199.0,1.6747522739873129,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
199.5,0.7931396501104584,1.1835601496650503,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
200.1,0.9621010297932244,1.884312734482883,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
200.6,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
201.2,0.0984895691512305,0.1765717386974869,0.4227217954354386,0.568327601299341,0.6240046386204081,0.6158870340838974,0.6580819552419201,0.647142319126147,0.6926569016074042,0.6693031693323009,0.6647797811913252,0.7599983068823749
201.7,0.7034276696238727,1.0735900081976926,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
202.3,1.813855926906112,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
202.8,1.710261704266174,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
203.3,0.4052553681643773,0.5495497414988433,1.5504815551106317,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
203.9,0.6257492125285468,1.2656208185165525,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
204.4,0.2183809214641008,0.4007531902422181,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
205.0,0.0311722768975881,0.1791481583900214,1.1226733359619523,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
205.5,0.8558522169648658,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
206.1,-0.0,-0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
206.6,9.0,9.0,0.1869406962331082,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
207.2,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1.639691202766256
207.7,9.0,9.0,9.0,1.0640502017683575,0.8934559875650937,0.8728467542391544,0.8172390102723548,0.8089309865674696,0.7374296248618845,0.7927767160678015,0.7998822118480583,0.6621377902786396
208.3,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
208.8,9.0,9.0,1.112398980799347,0.7778061487032315,0.7152815963627362,0.7087663649401157,0.6891885356387468,0.6787466056423428,0.6477580086470675,0.6768045391870989,0.6760298359387062,0.6126045308605057
209.4,9.0,9.0,1.2654920714128428,0.9211040676524854,0.8536939941677114,0.8478827536426919,0.8273829668725617,0.8181705839479728,0.7866991978322844,0.8140735589009548,0.8136851651704048,0.7481655031558311
209.9,9.0,9.0,1.0131679901957371,0.7888910317726254,0.7345322874483594,0.7345323918762091,0.7157824660060829,0.7085035460914816,0.6850849718288282,0.7073023720709414,0.7061041373488739,0.6564148380255053
210.4,9.0,9.0,1.0641556524106517,0.8409293752823744,0.7869326176998849,0.7862247994422851,0.7683635672424891,0.7609599295051811,0.7376458924449132,0.7593318707854169,0.7584461411610275,0.7089581564149163
211.0,9.0,9.0,9.0,1.5469189384213762,1.3307669447468866,1.334450433466888,1.2752653020656903,1.24542254315802,1.186350384726132,1.249749330928163,1.244562744388775,1.110053468113345
211.5,9.0,9.0,9.0,9.0,2.126019589434753,2.1338807789974203,1.8673414955183865,1.763246737289925,1.5909557536229282,1.7840060287218138,1.7592126297844406,1.4283716443723182
212.1,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
212.6,9.0,9.0,1.113418147221327,0.8519921646174863,0.8000648144492812,0.799060909885261,0.7839003986715812,0.7733762610706241,0.7496763073107464,0.7770273948256936,0.7703331348509935,0.7169305668029319
213.2,9.0,9.0,3.428419382344626,1.1360703169782596,1.0305543367157068,1.0273362240777302,0.998032623381506,0.9806738139747004,0.9385415709595676,0.9822478559982634,0.972890252060859,0.8845449747836331
213.7,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,3.7963080166187853
