# ---
# experiment_id: ZIF-67 Synthesis_Aditya_and_Hardik_20250725_151750
# experiment_name: ZIF-67 Synthesis
# operator_name: Aditya_and_Hardik
# target_compound: ZIF-67
# project_id: None
# sample_type: MOF_synthesis
# solvent: methanol
# temperature_c: 25
# notes: Synthesis of a single vial of MOF - First run
# created_at: 2025-07-25T15:17:50.516132
# instrument_serial: 2
# measurement_timestamp: 2025-07-25T15:32:42.152085
# well_id: A1
# slot: Well A1 form UWSUNLab 10 Well Plate 14000 µL on slot 2
# pixels: 2068
# integration_time_us: 10000
# scans_averaged: 50
# boxcar_width: 50
# dark_id: dark_20250725_151900
# white_id: white_20250725_151905
# wavelength_unit: nm
# absorbance_unit: AU
# metal_precursor_name: Co+2
# metal_precursor_vol_ml: 1
# organic_precursor_name: 2-methylimidazole
# organic_precursor_vol_ml: 0.625
# solvent_name: methanol
# solvent_vol_ml: 4.375
# total_volume_ml: 6.0
# ---
wavelength_nm,0 min,15 min,30 min
194.0,-0.0,-0.0,-0.0
194.6,9.0,9.0,9.0
195.1,9.0,9.0,9.0
195.7,9.0,9.0,9.0
196.2,9.0,9.0,9.0
196.8,9.0,9.0,9.0
197.3,9.0,9.0,9.0
197.9,9.0,9.0,9.0
198.4,9.0,9.0,9.0
199.0,9.0,9.0,9.0
199.5,9.0,9.0,9.0
200.1,9.0,9.0,9.0
200.6,9.0,9.0,9.0
201.2,0.4259263621397745,0.3948955992727288,0.18336970687183465
201.7,9.0,9.0,9.0
202.3,9.0,9.0,9.0
202.8,9.0,9.0,9.0
203.3,9.0,9.0,9.0
203.9,9.0,9.0,9.0
204.4,9.0,9.0,9.0
205.0,9.0,9.0,0.32612317598549134
205.5,9.0,9.0,9.0
206.1,9.0,9.0,9.0
206.6,0.1187820645838419,0.1306578821492499,0.4662323668178066
207.2,9.0,9.0,9.0
207.7,0.3058690143984234,0.325101748725267,0.632378639276163
208.3,9.0,9.0,9.0
208.8,0.3806320541339407,0.3963880904128448,0.709294295701448
209.4,0.4972322982368938,0.5106292225582056,0.7154037037158573
209.9,0.2451918825363006,0.258883906679233,0.4596246043376668
210.4,0.3064374704195273,0.314445120495559,0.4305038834205569
211.0,0.8792967636248505,0.9081929212416194,1.7543881542076039
211.5,0.6792112412443769,0.6997643550418576,1.0168609125756178
212.1,1.3179689093985645,1.4286984731128425,9.0
212.6,0.4228426015032024,0.4368640121539368,0.646899531125974
213.2,0.3120916400411181,0.3231438627846515,0.4741198314507165
213.7,9.0,9.0,9.0
214.3,1.2884947448114146,1.410401562903929,9.0
214.8,0.6342977258539821,0.656696651891974,0.986531823703933
215.3,9.0,9.0,9.0
215.9,0.6021415967147298,0.6237172447763344,0.9609240497279656
216.4,9.0,9.0,9.0
217.0,9.0,9.0,9.0
217.5,9.0,9.0,9.0
218.1,0.4924907237188036,0.5074850857388878,0.8436085321432802
218.6,0.1673588980935063,0.1773720418227852,0.3988063145237836
219.2,0.5364462279272293,0.601451767968094,9.0
219.7,0.5835537619234981,0.6071658447804473,1.6538284581423102
220.2,-0.0,-0.0,0.1959349636305091
220.8,9.0,9.0,9.0
221.3,-0.0,-0.0,0.0184777300563583
221.9,0.5054231081910128,0.516782382167848,1.3511564745392473
222.4,9.0,9.0,9.0
223.0,0.2561340177712367,0.2460552812007413,0.3662044699700805
223.5,9.0,9.0,9.0
224.0,9.0,9.0,9.0
224.6,9.0,9.0,9.0
225.1,-0.0,-0.0,-0.0
225.7,-0.0,-0.0,-0.0
226.2,9.0,9.0,9.0
226.8,9.0,9.0,9.0
227.3,0.5661176467550746,0.7554134854580351,0.730492046389474
227.8,9.0,9.0,9.0
228.4,0.3875379303930416,0.4752715137430612,0.47262177389617327
228.9,9.0,9.0,9.0
229.5,9.0,9.0,9.0
230.0,9.0,9.0,9.0
230.5,0.654073213649031,0.7880085895786356,0.7752935416906611
231.1,9.0,9.0,9.0
231.6,0.5012247820552009,0.5737169595990543,0.5576023708524545
232.2,9.0,9.0,9.0
232.7,9.0,9.0,9.0
233.2,9.0,9.0,9.0
233.8,9.0,9.0,9.0
234.3,9.0,9.0,9.0
234.9,0.7276507861627339,0.8367739184431077,0.7564754985825329
235.4,9.0,9.0,9.0
235.9,9.0,9.0,9.0
236.5,9.0,9.0,9.0
237.0,9.0,9.0,9.0
237.6,0.8459586877453041,1.0592902735571417,0.7402906441723013
238.1,0.7324496835988709,0.8071303975891331,0.6566745778355279
238.6,9.0,9.0,9.0
239.2,9.0,9.0,1.4587949064028705
239.7,9.0,9.0,9.0
240.3,0.4944763470653614,0.5191969238910259,0.3882494329295803
240.8,9.0,9.0,9.0
241.3,9.0,9.0,9.0
241.9,0.0508706356852544,0.0581833069672704,-0.0
242.4,9.0,9.0,9.0
243.0,9.0,9.0,9.0
243.5,0.7826771492552748,0.8250062692899607,0.5473306110617459
244.0,9.0,9.0,0.9146914023940228
244.6,0.1438667292657768,0.1516750985610601,0.06276476564925361
245.1,0.562303110758063,0.5795359105018044,0.3800393789174328
245.6,9.0,9.0,9.0
246.2,0.6401700939601471,0.6606302871856458,0.4425001460900007
246.7,9.0,9.0,1.2821650622239498
247.3,1.0716088881738255,1.1639937140085153,0.5971806098856808
247.8,-0.0,-0.0,-0.0
248.3,9.0,9.0,9.0
248.9,0.6298817524421656,0.6590740215124542,0.4054443722628069
249.4,1.1187810603808015,1.2388962274628497,0.6265357627477052
249.9,0.2202950137653614,0.2355720093912378,0.10814497386889176
250.5,1.0927155732877556,1.2103374256336257,0.6040657238728594
251.0,2.729605539840356,9.0,0.6856444345431986
251.5,0.7084311189768153,0.7598260523620768,0.3918492685637241
252.1,0.5700274034401567,0.6049828226950689,0.33147908400802645
252.6,0.5255004581350581,0.5644317787325646,0.286112950994548
253.2,9.0,9.0,1.2957501915986447
253.7,0.6902063084589453,0.7528979869057565,0.3675976445453293
254.2,1.796234272006516,9.0,0.705188272708994
254.8,0.7514444908238971,0.8164937837259654,0.4267501117789467
255.3,0.514776592937751,0.5570722394667883,0.26474911417335023
255.8,9.0,9.0,0.7948352925648667
256.4,1.5740733053699896,2.696877923742478,0.6352710906321103
256.9,0.4322247475422089,0.4659613352077527,0.22691023151362444
257.4,0.9591246880415198,1.0894268404166365,0.4727739227007718
258.0,0.7023585521425291,0.7718172370336973,0.36874047330582393
258.5,9.0,9.0,0.6297855629803797
259.0,0.4322247479405636,0.4703090725722879,0.21582616906522445
259.6,0.3771991339725801,0.40783331610309,0.19210326804023475
260.1,0.6241103396427142,0.6754185329172995,0.3495623065990182
260.6,0.5092484875766256,0.5458570007601642,0.2817404156261771
261.2,9.0,9.0,0.8172168226463432
261.7,0.776930246749731,0.8540863584998266,0.4149459085307123
262.2,9.0,9.0,0.6889380882611676
262.8,0.4262618001942628,0.4648811668361402,0.19563140924611466
263.3,9.0,9.0,1.4590260557703263
263.8,9.0,9.0,9.0
264.4,0.900316587107922,1.0689326324865944,0.3742527142259195
264.9,9.0,9.0,0.6950920219198562
265.4,9.0,9.0,1.3191092091789238
266.0,0.5753532377276062,0.6393342830075092,0.2825271957569844
266.5,9.0,9.0,0.8566949706864817
267.0,0.4322248131911238,0.4760753147474038,0.22924343408448608
267.6,0.5639736896105089,0.6363754839177374,0.2747637857126706
268.1,0.7058792016052721,0.8164937796028194,0.3426399944506211
268.6,9.0,9.0,1.2403745732607223
