# ---
# experiment_id: ZIF-67 Synthesis_Aditya_and_Hardik_20250725_221848
# experiment_name: ZIF-67 Synthesis
# operator_name: Aditya_and_Hardik
# target_compound: ZIF-67
# project_id: None
# sample_type: MOF_synthesis
# solvent: methanol
# temperature_c: 25
# notes: Synthesis of a single vial of MOF - First run
# created_at: 2025-07-25T22:18:48.445755
# instrument_serial: 2
# measurement_timestamp: 2025-07-25T22:33:38.832838
# well_id: A1
# slot: Well A1 form UWSUNLab 10 Well Plate 14000 µL on slot 2
# pixels: 2068
# integration_time_us: 10000
# scans_averaged: 50
# boxcar_width: 50
# dark_id: dark_20250725_222000
# white_id: white_20250725_222004
# wavelength_unit: nm
# absorbance_unit: AU
# metal_precursor_name: Co+2
# metal_precursor_vol_ml: 1.66
# organic_precursor_name: 2-methylimidazole
# organic_precursor_vol_ml: 1.0375
# solvent_name: methanol
# solvent_vol_ml: 7.2625
# total_volume_ml: 9.96
# ---
wavelength_nm,0 min,15 min,30 min,45 min,60 min,75 min,90 min,105 min,120 min,135 min,150 min,165 min,180 min
211.0,9.0,3.2867705261195304,1.115002263339829,0.813650203495006,0.6072225206764535,0.530354557105725,0.5365929855244909,0.513946759320753,0.4839926010052587,0.4958420340164814,0.510531277979181,0.5071422179848647,0.5545517034719029
211.5,9.0,9.0,9.0,9.0,1.3401671945336573,0.9801028751626708,0.9978469730406372,0.9222071326705036,0.830020332710429,0.8578084495859675,0.9134994335515776,0.8923520749701076,1.0716972172336403
212.1,9.0,9.0,9.0,9.0,1.3567182622816072,0.9839479948470424,1.001635631646809,0.9271706549026582,0.8259010845388284,0.8538824338031956,0.9205687779423364,0.8960024422356627,1.086050447446362
212.6,9.0,9.0,9.0,0.9550751056849396,0.5904126502811885,0.484635114047144,0.4879314762042532,0.4595202814003867,0.4139643692732036,0.4270647432196681,0.4561444064414369,0.444483582229411,0.5187760993334855
213.2,9.0,9.0,1.093526748318203,0.7402546032856414,0.5220928381821164,0.4439142499879844,0.4463623922610042,0.4242309204803706,0.3895014450010993,0.3998523971073546,0.4223399717992325,0.4147139698936798,0.4716294751181115
213.7,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
214.3,9.0,9.0,9.0,9.0,9.0,2.110150526106094,2.526565144935349,1.5158900946486715,1.1702598930559591,1.264322094676395,1.5422362447107405,1.3973338749266269,9.0
214.8,9.0,9.0,1.1173602685493256,0.741041112575711,0.5203228023022454,0.4432971090698864,0.4468447664299177,0.418411742991719,0.3852393963482688,0.3980468111357721,0.4240782881290612,0.409197284338014,0.46875906068412054
215.3,9.0,9.0,9.0,9.0,9.0,1.927121485290625,2.0799865520124543,1.4054736879785996,1.1353104711368558,1.2150310895243956,1.5172154424761202,1.3259966442180522,9.0
215.9,9.0,9.0,9.0,9.0,0.8447033089628301,0.6593282436633136,0.6709466491488884,0.6090497168281226,0.5517412210089813,0.5676897490809814,0.6260998146723717,0.5927673411486866,0.7052335385711027
216.4,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
217.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
217.5,9.0,9.0,9.0,9.0,9.0,1.6939463792703295,1.919057463278762,1.21946418491642,0.9295436727602794,0.984214632870678,1.3091130533882136,1.1037905635069394,9.0
218.1,9.0,9.0,1.1238093813740986,0.6728808013433897,0.4447516147039589,0.3625215708137555,0.3669800509128648,0.3333114834922412,0.2984637554805556,0.3059426767779601,0.342148021270641,0.322434177696656,0.3829539509084002
218.6,9.0,9.0,1.0028718668337633,0.5187506512284795,0.2833182036055029,0.1997024435825928,0.2063675781884255,0.1709160235213065,0.1362323826948023,0.143919475497774,0.181356809900978,0.158710001755419,0.22116866589313375
219.2,9.0,9.0,9.0,9.0,9.0,1.4409463085997571,1.806621889969639,0.9392261525132628,0.6672243534123002,0.7060688356054453,1.0761982949173592,0.8196723674545559,9.0
219.7,9.0,9.0,9.0,0.8469496467447764,0.4410216392333146,0.3218201624515918,0.3319509210856784,0.2854782606079042,0.2417136262633746,0.2495149706611848,0.3003668311783964,0.2677555730535959,0.3529492114637635
220.2,9.0,1.4388351330857212,0.6200032263720442,0.3477628525841643,0.1734547483530384,0.1061828933321451,0.1105138608207414,0.082494601255118,0.0540670360097436,0.0600316947289564,0.0921389210463277,0.0711179794522993,0.12287465971556981
220.8,9.0,9.0,9.0,9.0,9.0,1.0917904086936634,1.1369918561439878,0.6969178633454681,0.4673134823655415,0.5045298349384829,0.8417986143455871,0.61448898832707,3.023780436302015
221.3,9.0,9.0,0.7587120879048298,0.2461660472439676,0.0063583697878097,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
221.9,9.0,9.0,9.0,9.0,0.513463736496969,0.2941755818168752,0.3114447903652076,0.2338653780778995,0.1658108726386822,0.1809182893711615,0.2707817449289374,0.2115559234604786,0.3621060424170359
222.4,9.0,9.0,9.0,9.0,0.1702203120628105,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.029465154742428622
223.0,9.0,9.0,9.0,9.0,0.846176721203119,0.4893478073408901,0.5290143352802176,0.4106800617743942,0.3146009106120506,0.3413955280764299,0.4895846639009398,0.3985937732474868,0.6476819920471389
223.5,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
224.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
224.6,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
225.1,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
225.7,-0.0,-0.0,-0.0,-0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
